comment_id,comment_author,reply_id,reply_author,reply_text,reply_like_count,reply_published_at
UgwOuUr-wexbXvnuWi54AaABAg,@AmadeusMello-c9q,UgwOuUr-wexbXvnuWi54AaABAg.ATNegmeJ1cXATNnVbjI4qq,@stefanivieira2311,W,1,2026-02-18T19:21:22Z
UgwOuUr-wexbXvnuWi54AaABAg,@AmadeusMello-c9q,UgwOuUr-wexbXvnuWi54AaABAg.ATNegmeJ1cXATNrsgQV99R,@heitor-x5r5z,Ele não fez o video ele só pegou o video copiou colocou um monte de tag aleatória na descrição do vídeo e postou,0,2026-02-18T19:59:36Z
UgzcNien_kO1iXobAlF4AaABAg,@BeneditaErnesto,UgzcNien_kO1iXobAlF4AaABAg.ATKcTrJuAPpATLhMwh5K4E,@HenzoGabriel-j8z,Vc quer robux grátis,0,2026-02-17T23:49:17Z
UgzcNien_kO1iXobAlF4AaABAg,@BeneditaErnesto,UgzcNien_kO1iXobAlF4AaABAg.ATKcTrJuAPpATMR8NZdpLR,@ThaisVitoriasla,​@HenzoGabriel-j8zeu,0,2026-02-18T06:37:58Z
Ugy_fPOmzh_FVU2kXxZ4AaABAg,@CarlaGonçalves-t7q,Ugy_fPOmzh_FVU2kXxZ4AaABAg.ATKFw9E-PSeATOKXQZ3WCp,@EvertonOliveira-tq1io,E quem perguntou,0,2026-02-19T00:18:43Z
Ugy_fPOmzh_FVU2kXxZ4AaABAg,@CarlaGonçalves-t7q,Ugy_fPOmzh_FVU2kXxZ4AaABAg.ATKFw9E-PSeATOXg7JtTpR,@IgorFerreira-m3c,​@EvertonOliveira-tq1iopode não mano,0,2026-02-19T02:13:38Z
UgyI1KzmArJk_ecbcnh4AaABAg,@FabianaLimaMarcolino,UgyI1KzmArJk_ecbcnh4AaABAg.ATAmuFjfl00ATIHRRPN5US,@BeFalk-f4q,❤,1,2026-02-16T15:56:14Z
UgyI1KzmArJk_ecbcnh4AaABAg,@FabianaLimaMarcolino,UgyI1KzmArJk_ecbcnh4AaABAg.ATAmuFjfl00ATIMH9DCQGy,@VanessaFarias-b1b9m,Vdd ❤,2,2026-02-16T16:38:31Z
UgyI1KzmArJk_ecbcnh4AaABAg,@FabianaLimaMarcolino,UgyI1KzmArJk_ecbcnh4AaABAg.ATAmuFjfl00ATJOMZ7XFn4,@mariajulianunes2175,Burro burro,0,2026-02-17T02:15:58Z
UgyI1KzmArJk_ecbcnh4AaABAg,@FabianaLimaMarcolino,UgyI1KzmArJk_ecbcnh4AaABAg.ATAmuFjfl00ATOLs6Qu2uK,@AdrianaSthefany-h7g4v,Hurtar,0,2026-02-19T00:30:24Z
UgzsztlPlF2wSvMjxYp4AaABAg,@LadjanirSantos,UgzsztlPlF2wSvMjxYp4AaABAg.ATAjvAWbQ1kATNv8ROokHp,@antonioderamosgomes,.o,1,2026-02-18T20:28:06Z
